0,0,0
1,1,0
2,0,5
3,1,5
4,0,1
5,1,1
6,0,4
7,1,4
8,0,2
9,1,2
10,0,3
11,1,3
12,0,8
13,1,8
14,0,12
15,1,12
16,0,9
17,1,9
18,0,11
19,1,11
20,0,10
21,1,10
22,0,21
23,1,21
24,0,16
25,1,16
26,0,20
27,1,20
28,0,17
29,1,17
30,0,19
31,1,19
32,0,18
33,1,18
34,0,28
35,1,28
36,0,24
37,1,24
38,0,27
39,1,27
40,0,25
41,1,25
42,0,26
43,1,26
44,0,0
45,1,0
46,0,5
47,1,5
48,0,1
49,1,1
50,0,4
51,1,4
52,0,2
53,1,2
54,0,3
55,1,3
56,0,8
57,1,8
58,0,12
59,1,12
60,0,9
61,1,9
62,0,11
63,1,11
64,0,10
65,1,10
66,0,21
67,1,21
68,0,16
69,1,16
70,0,20
71,1,20
72,0,17
73,1,17
74,0,19
75,1,19
76,0,18
77,1,18
78,0,28
79,1,28
80,0,24
81,1,24
82,0,27
83,1,27
84,0,25
85,1,25
86,0,26
87,1,26
